filename,umap_x,umap_y,final_cluster_id
NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site2_TRITC_Day0.png,12.995499,-2.7094178,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site2_TRITC_Day1.png,9.438839,-3.097266,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site2_TRITC_Day2.png,4.285885,-4.9388275,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site3_FITC_Day0.png,9.558142,-2.7241971,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site3_FITC_Day1.png,7.7716565,-3.8372414,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site3_FITC_Day2.png,2.8490021,-4.059352,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site3_TRITC_Day0.png,10.1802025,-3.0012894,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site3_TRITC_Day1.png,8.140891,-3.9538648,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site3_TRITC_Day2.png,2.9302404,-4.396094,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site4_FITC_Day0.png,8.907851,-2.977583,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site4_FITC_Day1.png,8.994452,-3.0901642,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site4_FITC_Day2.png,9.335913,-3.2673006,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site4_TRITC_Day0.png,8.922968,-3.028336,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site4_TRITC_Day1.png,9.092123,-3.1840131,0
NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site4_TRITC_Day2.png,9.200206,-3.2565002,0
NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site1_FITC_Day0.png,10.467358,-2.6915581,0
NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site1_FITC_Day1.png,9.822092,-2.9885383,0
NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site1_FITC_Day2.png,8.550131,-4.2480965,0
NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site1_TRITC_Day0.png,10.413638,-2.481633,0
NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site1_TRITC_Day1.png,9.664337,-2.7054734,0
NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site1_TRITC_Day2.png,8.336813,-4.2635856,0
NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site2_FITC_Day0.png,11.600768,-2.6386192,0
NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site2_FITC_Day1.png,3.4609473,-2.204701,0
NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site2_FITC_Day2.png,-2.7459283,-2.1646252,0
NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site2_TRITC_Day0.png,11.488045,-2.4487686,0
NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site2_TRITC_Day1.png,3.4648614,-2.064074,0
