file_path,mean_score
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site2_Hoechst.png,9.88
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site2_TRITC_Day0.png,10.75
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site2_TRITC_Day1.png,18.12
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site2_TRITC_Day2.png,10.34
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site3_FITC_Day0.png,9.69
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site3_FITC_Day1.png,24.12
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site3_FITC_Day2.png,33.68
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site3_Hoechst.png,10.22
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site3_TRITC_Day0.png,13.2
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site3_TRITC_Day1.png,30.52
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site3_TRITC_Day2.png,25.1
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site4_FITC_Day0.png,11.91
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site4_FITC_Day1.png,19.62
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site4_FITC_Day2.png,34.88
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site4_Hoechst.png,9.82
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site4_TRITC_Day0.png,16.91
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site4_TRITC_Day1.png,25.68
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A2_500nM_BT549_site4_TRITC_Day2.png,22.69
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A3_250nM_BT549_site1_FITC_Day0.png,108.27
